Reaction Date,Reaction Type,Parent Type,Parent ID
"Jul 26, 2019, 4:27:48 PM",Kudos,Activity,2564654238
"Jul 26, 2019, 4:29:35 PM",Kudos,Activity,2563494748
"Jul 26, 2019, 4:31:35 PM",Kudos,Activity,2563314656
"Jul 28, 2019, 9:21:34 PM",Kudos,Activity,2570713230
"Jul 29, 2019, 6:08:23 PM",Kudos,Activity,2572112723
"Jul 30, 2019, 5:20:10 PM",Kudos,Activity,2576019952
"Jul 30, 2019, 5:21:02 PM",Kudos,Activity,2575695595
"Jul 30, 2019, 5:21:15 PM",Kudos,Activity,2575502596
"Jul 30, 2019, 5:27:02 PM",Kudos,Activity,2574401236
"Jul 31, 2019, 11:16:21 PM",Kudos,Activity,2579569646
"Jul 31, 2019, 11:16:24 PM",Kudos,Activity,2579758486
"Jul 31, 2019, 11:16:30 PM",Kudos,Activity,2579615338
"Jul 31, 2019, 11:16:56 PM",Kudos,Activity,2579341954
"Aug 2, 2019, 1:03:52 AM",Kudos,Activity,2581298017
"Aug 2, 2019, 2:38:58 PM",Kudos,Activity,2583733279
"Aug 4, 2019, 4:30:40 PM",Kudos,Activity,2589886565
"Aug 4, 2019, 4:34:53 PM",Kudos,Activity,2586962529
"Aug 5, 2019, 1:48:43 PM",Kudos,Activity,2590890980
"Aug 5, 2019, 1:48:45 PM",Kudos,Activity,2590927254
"Aug 5, 2019, 1:48:59 PM",Kudos,Activity,2590749919
"Aug 7, 2019, 2:31:36 AM",Kudos,Activity,2597331884
"Aug 8, 2019, 12:05:28 PM",Kudos,Activity,2599867778
"Aug 8, 2019, 12:10:03 PM",Kudos,Activity,2598379023
"Aug 10, 2019, 2:23:11 PM",Kudos,Activity,2606918378
"Aug 10, 2019, 2:23:26 PM",Kudos,Activity,2606798336
"Aug 10, 2019, 2:25:38 PM",Kudos,Activity,2605282973
"Aug 10, 2019, 2:26:00 PM",Kudos,Activity,2605074974
"Aug 10, 2019, 2:31:59 PM",Kudos,Activity,2606990046
"Aug 10, 2019, 6:02:09 PM",Kudos,Activity,2607361880
"Aug 10, 2019, 6:03:38 PM",Kudos,Activity,2607370142
"Aug 12, 2019, 7:44:34 PM",Kudos,Activity,2613118899
"Aug 12, 2019, 7:47:38 PM",Kudos,Activity,2610876982
"Aug 12, 2019, 7:47:59 PM",Kudos,Activity,2611196501
"Aug 12, 2019, 7:48:00 PM",Kudos,Activity,2610044776
"Aug 12, 2019, 7:48:01 PM",Kudos,Activity,2609897868
"Aug 12, 2019, 7:49:07 PM",Kudos,Activity,2608054120
"Aug 12, 2019, 7:49:11 PM",Kudos,Activity,2608017308
"Aug 18, 2019, 10:30:58 PM",Kudos,Activity,2630990537
"Aug 18, 2019, 10:31:28 PM",Kudos,Activity,2630772195
"Aug 18, 2019, 10:31:49 PM",Kudos,Activity,2630274897
"Aug 20, 2019, 5:52:43 PM",Kudos,Activity,2635092971
"Aug 20, 2019, 5:54:53 PM",Kudos,Activity,2634923755
"Aug 21, 2019, 3:05:04 PM",Kudos,Activity,2636464132
"Aug 21, 2019, 8:22:34 PM",Kudos,Activity,2639429576
"Aug 22, 2019, 9:47:55 PM",Kudos,Activity,2642577811
"Aug 24, 2019, 1:11:24 PM",Kudos,Activity,2645659870
"Aug 24, 2019, 2:52:43 PM",Kudos,Activity,2647090667
"Aug 24, 2019, 9:29:48 PM",Kudos,Activity,2647809935
"Aug 24, 2019, 9:29:53 PM",Kudos,Activity,2646722804
"Aug 27, 2019, 2:13:33 PM",Kudos,Activity,2655945731
"Aug 28, 2019, 1:27:58 PM",Kudos,Activity,2657520172
"Aug 28, 2019, 1:29:36 PM",Kudos,Activity,2657159512
"Aug 28, 2019, 8:05:17 PM",Kudos,Activity,2659400284
"Aug 28, 2019, 8:06:22 PM",Kudos,Activity,2659013994
"Aug 29, 2019, 3:44:14 PM",Kudos,Activity,2661943203
"Aug 29, 2019, 3:44:36 PM",Kudos,Activity,2660714097
"Aug 29, 2019, 3:45:01 PM",Kudos,Activity,2660061596
"Aug 30, 2019, 4:32:15 PM",Kudos,Activity,2664622717
"Aug 30, 2019, 4:32:18 PM",Kudos,Activity,2664853646
"Aug 30, 2019, 4:32:43 PM",Kudos,Activity,2664564607
"Aug 30, 2019, 10:47:53 PM",Kudos,Activity,2665538672
